,predicted,stars,text
3989,5,5,"Finally, well-qualified, well-established mechanics that don't talk to me like I'm a dumb, car-ignorant girl - even if I am. I was sitting at a desk establishing an estimate for my Honda within 20 minutes of calling them. The receptionist was polite and efficient, but truly the best part was their interactive, transparent estimate process. I was able to view the screen as my estimator drag and dropped the parts he suspected I would need into a spreadsheet. Then, I saw him calculate the labor hours - something I had NEVER been privy to before. Tracy's Auto Body was affordable, very quick and went above and beyond - alerting me to other pieces that were loose and fixing them for free. I highly recommended their services. They have a perfect record since the mid-1980s with BBB and with good reason."
2257,5,5,"I used to go here about once a week when I still lived and worked in Arizona. My office at the time was within walking distance.

This is a very good Hooters location...located smack dab in the middle of Mill Avenue right next to ASU. Plenty of stores all around. 

I used to go mainly for lunches during the week with co-workers. It usually was quieter than evenings or weekends. The serving staff were great and many of the ladies would stand and chat for quite a while...as it was pretty slow."
5130,5,5,"Seriously soo good! Drove 60miles to come here about 5 times in the 3 months that I lived in AZ. 

I came here because of the triple D episode and it was soo worth it! Burgers, fries, onion rings, sweet potatoe fries and pizza are ALL GOOD! 
and check out their bathrooms.. its pretty cool too. 

Tried Joe's Real BBQ, which is their first restaurant but it was just OK. 
Joe's Farm grill is def. one of my fav places.."
2650,5,5,"I am a hot dog lover. 

For the past five years I've found no greater joy in Phoenix than hitting up Nogales Dogs for the best meal on the planet. Each evening when the Keyboard City on 20th St. and Indian School closes, the parking lot is converted into a quaint little dining atmosphere. I most enjoy going around six, the sun is setting and the buzz of traffic makes Phoenix seem more alive. This is my own preference and I know many people who hate going at this time because of the loud traffic. The bacon wrapped dogs are made to perfection with your choice of mayo, beans, tomatoes, onions, jalapenos, cheese, mushrooms, and lettuce. And to top it all off you can wash it down with a Mexican Coca Cola, mmm so sugar filled. Don't forget to bring cash and your appetite."
5849,5,5,"Kind of surprised myself, but I have to give them a five.  Let's begin with the drink was excellent.  I had some kind of pom martini that was one of the best I've had in a while.  I ordered the sirloin steak cobb salad.  My salad arrived two minutes after the people I was eating with, and it was taken off the bill....they also brought us a free dessert and apologized...really?  That's good service.  They may have even gone overboard, but I didn't complain.  The food itself was excellent.  I loved my salad, and it was a nice size portion.  All in all, a great experience."
1711,5,5,"The shaved ice at Bahama Bucks reminds us of vacationing in Hawai'i! Lots of flavoring options, and a cheap date!  Haven't tried the smoothies yet, but we heard they're great!"
9984,5,1,"Went last night to Whore Foods to get basics to make pizza with, most clutch to the process was a three pack of yeast. Low and behold, the dirty hippie kids they have working there again didn't put something in the bag.

And this time it was the yeast.

I love the food there, but the employees are nothing more than entitled hippie kids from Scottsdale who can't be bothered to do their goddamn jobs! I am so sick of this crap with this corporation. Maybe its a Phoenix thing, or maybe its the hiring and firing processes of Whore Foods, but I am done shopping at any Whore Foods. In a place like Phoenix, where you have alternatives such as Sprouts, you'd think Whore Foods would smarten up.

Or when you try to ask someone who works here where something is, and they just walk by with their nose high in the air. I understand its important to show your fellow dirt merchants that you're a super star, but I don't work with you, I contribute to your salary and over inflated set of benefits for a grocery clerk, so do your goddamn job. Useless little girl in need of a shower and orthodontist. 

But alas, Whore Foods and its dirty hippie employees have alienated yet another person with a job and a degree into hating everything that place stands for.

Oh yea, one other thing, take the concealed firearm prohibition off of your stores. It didn't stop Jared Loughner from doing something horrid, and all it does is alienate law abiding citizens from their Constitutional rights. I understand you think that only parts of the Constitution should apply, but honestly I think you need to pull your collective heads out of your ass and take a shower.

Useless motherf*&#$@s!"
3560,5,5,"This place is absolute perfection.  From the setting to the service to the food, I loved every moment of it.  The only way I found out about this place was through Yelp.  You seriously are my trusty sidekick.  From the previous reviews I was a little worried that it might be packed, but then I remembered it was a Monday night so no worries.
Walking in the restaurant, it is quite small, but just absolutely adorable.  It really does feel like an upscale country home.  Wood lines the whole restaurant and they have mini chandeliers hanging over every table.  Even the touches of place setting are just perfect.
Our server was Gina and she was a complete sweetheart.  We started off with the Bohemian Sidecar and the Cucumber Vesper.  Both were absolutely delightful!  Then we moved on to appetizers, because while getting drunk is fun, I was really excited for the food.  We had the steak tartare and mussels in the saffron and white wine sauce.  I loved the steak tartare with the potato chips and fried egg on top.  Put fried egg on top of anything and I'm sold.  Put fried egg on top of raw steak and I'm in love!  The mussels came out just as we were finishing up the steak tartare, perfect timing!  The mussels were equally amazing if not more, and I am so sad that they only give one piece of bread!  Well that, along with the bread and butter.  But that still wasn't enough for me!  I wanted to soak up all of that saffron sauce goodness!
After Gina cleared that out of our way, she brought out the glass of Bordeaux and Rhone blend.  I hate when I don't have a drink in front of me, and she made sure that never happened.  Then the entrees came.  The pork shoulder with the bacon for my bf, and the stuffed chicken with the pome puree and mushrooms for me.  Again, absolute perfection on both accounts!  I loved the mushrooms that were slightly charred and crispy, with the sauce and the puree and the chicken with goat cheese.  I'm getting hungry again just writing about it.  My bf loved his, but I still maintain that mine was better.  And both of these entrees were incredibly reasonably priced at $15 and $17.  Could life get any better?
Well apparently it could!  After we polished off our entrees, then came dessert and after dinner drinks!  We had the souffle which was amazing with the creme anglaise.  And the berries with the creme fraiche.  Heaven in my mouth!  We finished that off with the chocolate martini and the pear tini.
This review cannot do this place justice.  This is truly a unique experience that is far above any of the restaurants in Scottsdale.  Please go in and experience this for yourself, you will not be disappointed!"
2193,5,5,"Rula Bula gets five stars from me for two reasons:

#1 Perfect fish and chips.
#2 One of the only correctly poured Guinness drafts in AZ.

They could punch me in the neck when I walked in, and i would still give them five stars for those two reasons.

Almost all the food is good (though I can count the number of times I've had anything other than the above on one hand). The happy hour is great, with half off appetizers, including the fish nuggets, which are the fish 'n' chips I eat before I eat the fish 'n' chips.

The world's most competitive trivia night. These people STUDY for trivia night. 

Great outdoor seating, good service. Decor is interesting, especially if you like this particular famous race horse that I currently forget the name of but is the subject of approximately 90% of the wall art."
995,1,1,Not worth the money. Food was average and the portion was small for the price I paid.
4199,5,5,"This place never ceases to amaze. One of the best breakfast places in Phoenix. The Sicilian scramble is a favorite--though the smashed meatball was great. We finally went back for dinner the other night and for the first time I had a burger. It should not be surprising that is was fantastic. Atmosphere is great, service is great, and the food is great--just go!"
9668,5,5,"Saigon Pho doesn't have a fancy sign, great decor or even windows you can look in/out of. But who cares when you have the most amazing Pho in the valley (and at the best prices)? The servings are very big and everything averages about $6 a plate. Staff is very attentive and quick to deliver the goods.

As you can read through the various other reviews - everyone has a favorite dish. I have a problem with gluttony so I can't suggest a single dish - I can only suggest them all. However, this place also has some of the best Salt and Pepper calamari I've ever had."
2947,1,1,"The service at this location is absolutely atrocious. I went to the Starbucks to get a Frappuccino, as I've done many times at this location without issue. The employee working the counter had an absolutely revolting tattoo near her collar bone and a scowl on her face. She asked me if I had a membership AFTER I had swiped my card, then said ""Too late,"" when I told her I had one.

Then, the idiot with the spiky blonde hair made me a Frappuccino that was basically brown water. I told her to make it again. She made it again, then informed me that she put extra shots of chocolate in it, and I should ask for extra chocolate if I don't want it to taste like water. I have never had a problem with the way my drink tasted until that day, but apparently the problem lies with me.

I'm not the one who chose a career in customer service. If the coffee slingers at this branch can't pretend to enjoy their jobs, they should be put out on the street."
6105,5,5,"They say you never forget your first.  Well, Postino Central was my first Postino and I remember my first sip and bite like it was yesterday.

The atmosphere here is very sexy at night.  Candlelight and sexy music add to the already chic ambience Postino has.  

The food?  Bliss.  I can still remember how the creamy ricotta and sweet figs on my bruschetta tantalized my tongue that first night.  I can feel the velvety red wine at the back of my mouth and drizzling down my throat.  

Parking is a bit of a hassle, but they have valet for a reason.

If you're stuck waiting for a table, squeeze in at the bar and grab a glass of wine (or three).  People watching is almost as fun here as eating.  

Now that there is a Postino in the East Valley, I am hoping Postino Central will get a little less busy... if only to serve my selfish purposes.  I love everything about this place and I hope to be back soon."
2824,5,5,Anyone who tells you this place isn't amazing is cu cu for coco puffs. The owners are equally amazing. They will remember you and tell you amazing stories and the cocktails are always amazing. My favorite is the lychejito made from lychee infused vodka made in house. The spring roll bar is amazing and they always change it up for me if I ask for substitutions. There really isn't anything on the menu that isn't good they offer everything from Vietnamese sammies to amazing clay pots. I always go for the soup but that hasn't stopped me from trying everything else. Everything is always fresh and delicious. Their happy hour is awesome as well.
2920,5,5,"I love the Tempe Library. The Culture Pass is a great program, the audiobook selection is good, and the seemingly unlimited resources are wonderful."
7729,5,5,"Put it in the baby book.  Baby's first AJ's.  And you'll always have a special soft place in your heart for your first.  

I love that while this location is in a nice part of town, it's not quite the same level of frou-frou as many other spots.  That means rather than dealing with the Scottsdale types who have to dress up to go to the store - you're dealing with a greater range of folks - but they are all willing to pay a bit more for the good stuff.  I will say, you'll pay less for a box of cereal or box of triscuits at a Circle K than you will at an AJ's. And I don't think I've ever seen anything on sale.  

But there is just nothing like their fresh food.  Be it produce or the meat section, the colors are brighter, the items are bigger and you just know it's going to taste better.  Their chicken breasts and pork chops are so amazingly good, and so large, you want to eat them all at once, but you just can't.  You have to try some of their pre-prepped meats.  My fav is a pork loin with apple stuffing.  Wow. 

And of course, great pre-made foods too if you just want to pick up something to go.  I've been suckered in to their desert section far too many times.  And they are always good.  But dang they can be pricy - so it really has to just be a special splurge.  

If you haven't tried an AJ's yet, I suggest this one to ease you into things.   There may be quite a few Lexus in the parking lot, but there won't be too many Hummers."
870,5,5,Best BBQ ever.  Go here and thank me later.
7898,5,5,"My brother from San Francisco was in town and missing the sushi from the bay area. I decided I'd let him choose where we'd go out even though I'd never ever heard of this place before. It was definitely in a not-so-glamorous area, tucked on the side of a dinky shopping center (sorry shopping center). When we walked in I was pleasantly surprised by the quaint atmosphere and set-up. It's definitely small but everyone working there and eating there seemed to be genuinely having a great time. 

We sat at the bar/long table in front of the sushi chefs which was a fun experience. We started off with sake, and it was pretty darn smooth. We ordered a variety of different dishes including sea urchin eggs, yellowtail shashimi and the king crab roll. They were even accomodating to make my brother dishes that weren't on the menu. The chefs are so nice and fun and the prices are pretty good!

My brother was extremely impressed coming from a top sushi city. I look forward to coming back and trying more of their extensive menu, especially for happy hour."
95,5,5,Awesome subs clean and friendly well priced.
7835,5,5,"I love me some coffee. The french roast brew is perfect for surviving a long day of work. If you want something sweet, order the iced raspberry mocha. Just the right amount of sweetness without tasting like you're drinking syrup. The muffins are moist and delicious. The spinach salad here is surprisingly amazing (yes, they make spinach salad at this coffee place). The best part about this place? It is not full of hipsters and college students who hog all the decent seating and never leave. I can't wait to go back to try all of the other drinks offered."
7068,5,5,"Dave at Dave's Ashtanga is the best yoga teacher. He is kind, considerate, patient and a very nice person. He will take the time to show you a yoga move or asana. He is very knowledgeable about different subjects. What I like best is once he said, ""here you can do nothing wrong."""
2598,5,5,"This little spot in the art district of Scottsdale is as good a lunch restaurant as I've been to.  I had the mahi mahi tacos, and was blown away by the attention to detail in the flavors bringing the dish together, as well as the wonderfully tasteful presentation.  

Of particular note was the attractiveness level of the waitresses, about which I don't have sufficient words to do justice.  Both my father and I were hard pressed not to buy a condo in Scottsdale just to stay and have all our meals for the rest of our life there solely to appreciate the view.  They were dressed tastefully, not in the slightest bit 'slutty', but holy god."
5922,5,5,"It is great.  Great ambiance, food, and service.  I love the rooftop bar too."
5387,5,5,"I've searched the world for the perfect pepperoni pizza.  I've searched it over and over again.  Damn it man!  I've wasted my life searching and searching to the farthest corners of the earth to find that saucy cheesy meaty delite!  Only to find that my favorite pepperoni pizza will always be Barro's,  a restaurant just around the corner from where I grew up.



I loathe you, you tasty cheesy bastards...oh, and can I have a large pepperoni to go?"
8420,5,5,"Amazing.

Fogo de chao is nothing short of out of this world. It is expensive, but as soon as you start, you'll know exactly where that money went.
Seriously. Try it."
5043,5,5,"It was a very lovely place. I had read the reviews before arriving and had read that the place looked dated, but it looked very nice to me. I've been to several hilton family hotels since my hubby is a diamond member and this is one of the better places we've been to.

The only thing that was sorta a deal breaker was that it wasn't near downtown."
6818,5,5,"Found this place through Yelp and a Yelping buddy so there you have it...the power of Yelp because we absolutely LOVED this place.  Tucked into a neighborhood you have a very cozy, eclectic little joint.  From the start to the end we received extremely friendly service. We of course tried the foods suggested in previous reviews and by the server.  The pasta fries were unique, light and paired with great tasting sauces.  A definite dish you have to try.  We also tried the figs stuffed with chorizo.  Also very good & savory.  But the ABSOLUTE FAVORITE of the night were the chicken and waffles!  My gosh is this the dish to come to the Tuck Shop for.  The chicken was deliciously seasoned and had the perfect fry on the outside and moist chicken on the inside.  The waffles were served with a butter that seemed to be whipped with possibly honey and the syrup was just the right sweet.  All the flavors seemed to work with just the right amount of sweet and savory.  The grilled fresh green beans were the perfect side.  I think I would get this dish over and over and over again.  Then I would go back and get it again.  
Great place we will frequent often.  

P.S. They make their own tonic.  Yep, their own tonic.  GREAT tasting!  Try it with the vodka they serve (haven't heard of it before but was very pleased)."
